Reference Area,Time Period,Value
Algeria,2015,99.39281
Anguilla,2010,100
Antigua and Barbuda,2010,100
Argentina,2009,99.937351
Armenia,2012,100
Aruba,2010,100
Azerbaijan,2012,100
Bahamas,2009,100
Bangladesh,2012,71.277046
Barbados,2009,100
Belarus,2010,100
Belize,2010,100
Benin,2015,82.50478
Bhutan,2012,100
Botswana,2012,100
Brazil,2010,99.86791
British Virgin Islands,2010,100
Burundi,2015,19.95614
Cote d'Ivoire,2015,100
Cabo Verde,2015,100
Cambodia,2012,56.109726
Cayman Islands,2010,100
"China, Hong Kong Special Administrative Region",2012,100
Costa Rica,2010,89.686684
Cuba,2010,100
Curacao,2010,100
Djibouti,2016,100
Djibouti,2013,100
Dominica,2010,100
Dominican Republic,2010,34.372367
Ecuador,2010,79.825878
Egypt,2010,100
El Salvador,2010,99.660633
Eritrea,2015,65.68627
Gambia,2016,73.56322
Gambia,2015,79.16667
Gambia,2014,82.8125
Gambia,2013,80.76923
Georgia,2012,100
Grenada,2010,100
Guinea,2013,22.377622
Guyana,2010,100
India,2012,86.718435
Iran (Islamic Republic of),2012,100
Jamaica,2010,100
Jordan,2011,99.930748
Kyrgyzstan,2012,100
Lao People's Democratic Republic,2012,73.588342
Madagascar,2015,30.15873
Madagascar,2013,27.81457
Malaysia,2011,100
Maldives,2012,100
Mauritania,2015,69.11765
Mauritius,2014,100
Montserrat,2010,100
Morocco,2015,94.48961
Nepal,2011,47.297461
New Zealand,2011,100
Nicaragua,2010,70.569106
Niger,2015,59.12409
Niger,2013,76.587302
Norway,2009,100
Oman,2011,100
Paraguay,2010,98.93152
Qatar,2011,100
Republic of Korea,2012,100
Saint Kitts and Nevis,2010,100
Saint Lucia,2010,100
Saint Vincent and the Grenadines,2010,100
Sao Tome and Principe,2013,100
Singapore,2011,100
Sint Maarten (Dutch part),2010,100
State of Palestine,2012,100
Suriname,2009,100
Thailand,2012,89.302534
Trinidad and Tobago,2009,100
Tunisia,2015,100
Turks and Caicos Islands,2010,100
Uganda,2015,39.55614
Uruguay,2009,100
Venezuela (Bolivarian Republic of),2010,67.228272
